id,sample,state,locality,lat,long,sex,species
44741,P_ludovicianus_44741,South Dakota,"Newton Hills, 3 miles sout of Canton",43.2235438,-96.56703145,male,ludovicianus
44742,P_ludovicianus_44742,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22564824,-96.56775624,male,ludovicianus
44743,P_ludovicianus_44743,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22564824,-96.56775624,male,ludovicianus
44744,P_ludovicianus_44744,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22529662,-96.56684202,male,ludovicianus
44745,P_ludovicianus_44745,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22529662,-96.56684202,male,ludovicianus
44746,P_ludovicianus_44746,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22491994,-96.56480136,male,ludovicianus
44747,P_ludovicianus_44747,South Dakota,"Newton Hills, 3 miles sout of Canton",43.2238178,-96.56457849,male,ludovicianus
44748,P_ludovicianus_44748,South Dakota,"Newton Hills, 3 miles sout of Canton",43.2238178,-96.56457849,male,ludovicianus
44749,P_ludovicianus_44749,South Dakota,"Newton Hills, 3 miles sout of Canton",43.22350432,-96.56356612,female,ludovicianus
44752,P_melanocephalus_44752,South Dakota,20 miles west-northwest of Pickstown,43.16872247,-98.81443301,male,melanocephalus
44753,P_ludovicianus_44753,South Dakota,21 miles west-northwest of Pickstown,43.16746593,-98.81459964,male,ludovicianus
44754,P_ludovicianus_44754,South Dakota,22 miles west-northwest of Pickstown,43.16900209,-98.80748198,male,ludovicianus
44760,P_melanocephalus_44760,South Dakota,20 miles west of Platte,43.3744147,-99.16500041,male,melanocephalus
44761,P_ludovicianus_44761,South Dakota,20 miles west of Platte,43.37052483,-99.1657107,male,ludovicianus
44762,P_hybrid_44762,South Dakota,20 miles west of Platte,43.37873968,-99.16284291,male,hybrid
44763,P_melanocephalus_44763,South Dakota,30 miles north-notheast ofGregory,43.46130554,-99.33812443,male,melanocephalus
44764,P_melanocephalus_44764,South Dakota,30 miles north-notheast ofGregory,43.45863489,-99.3343431,male,melanocephalus
44765,P_melanocephalus_44765,South Dakota,30 miles north-notheast ofGregory,43.45776167,-99.32953256,male,melanocephalus
44766,P_melanocephalus_44766,South Dakota,6 miles south of Oacoma,43.70659824,-99.44252925,male,melanocephalus
44769,P_melanocephalus_44769,South Dakota,6 miles south of Oacoma,43.70450126,-99.4414966,male,melanocephalus
44770,P_melanocephalus_44770,South Dakota,6 miles south of Oacoma,43.70668609,-99.44167363,male,melanocephalus
